course,normalizedDifficulty
ARTST   244,2.747239919765522
ARTST   245,3.035567911218514
ARTST   246,2.613311348336949
ARTST   260,2.342478015003617
ARTST   261,2.3945188313301475
ARTST   501,10.0
ARTST   591A,2.342478015003617
ARTST   591S,2.642478015003617
ARTST   593MS,2.342478015003617
AS AM     1,6.682902742181537
AS AM     1H,3.3139065864321884
AS AM     2,7.372734009442477
AS AM     2H,2.96621885749446
AS AM     4,5.967622951004017
AS AM     5,6.608818657356949
AS AM     5H,4.834144681670283
AS AM     7,6.331901809096097
AS AM     7H,3.398033570559171
AS AM     8,6.036952908082265
AS AM     8H,4.236922459448061
AS AM     9,6.898716681997
AS AM    71,6.578760884688728
AS AM    79,6.830573253098855
AS AM   100AA,6.013764876654816
AS AM   100BB,6.771147619737688
AS AM   100CC,7.04404627125874
AS AM   100DD,8.223537873640186
AS AM   100EE,5.763283220399339
AS AM   100FF,6.169237697009684
AS AM   100HH,7.204125541818827
AS AM   101C,3.2710494435750443
AS AM   107,6.828060025585627
AS AM   108,3.901063873589474
AS AM   109,5.18601460036947
AS AM   110,5.738476698226448
AS AM   111,6.2593592636302935
AS AM   113,7.468770004667701
AS AM   114,5.839102147003439
AS AM   115,10.0
AS AM   116,5.847912797612313
AS AM   118,5.005990604624733
AS AM   119,5.86957591710152
AS AM   120,5.863462635988238
AS AM   121,5.331883159447123
AS AM   122,6.637072587098189
AS AM   124,6.671288929727845
AS AM   125,4.802918467954743
AS AM   126,4.802478015003617
AS AM   127,4.631096393556589
AS AM   128,6.549628025397727
AS AM   129,5.777326499852103
AS AM   130,6.700502635363762
AS AM   131,5.330451509631317
AS AM   132,4.414278055440912
AS AM   133,7.398009603320065
AS AM   134,4.192082657970888
AS AM   135,5.0213514246756805
AS AM   136,5.515271470950477
AS AM   137,7.111991907705487
AS AM   138,4.498741421267024
AS AM   139,6.050325476033452
AS AM   141,3.563986754030744
AS AM   142,3.207909879789548
AS AM   144,6.066803944242336
AS AM   146,6.500519725855505
AS AM   147,3.1492961968217976
AS AM   149,4.404978015003618
AS AM   150,5.823691060088613
AS AM   154,7.074345698523688
AS AM   155,7.695417765092653
AS AM   156,7.819855392380993
AS AM   157,4.655195977342574
AS AM   158,5.269004074177214
AS AM   159,5.10334758022101
AS AM   160,9.043337715722402
AS AM   161,6.344233766946663
AS AM   162,4.710626513372622
